month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Maharashtra,market_Ambejaogai,market_Ausa,market_Beed,market_Bhokar,market_Channarayapatna,market_Deoulgaon Raja,market_Kaij,market_Kalamb (Dharashiv),market_Kamthi,market_Kandhar,market_Latur,market_Loha,market_Madhugiri,market_Mantha,market_Mysore (Bandipalya),market_Nagamangala,market_Navapur,market_Pune(Khadiki),market_Pune(Pimpri),market_Sengoan,market_Tumkur,market_Umarga,variety_Other,year
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,2020
1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2020
1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,2020
