month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Assam,state_Chattisgarh,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Meghalaya,state_Mizoram,state_NCT of Delhi,state_Odisha,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,state_Uttrakhand,state_West Bengal,market_Adampur,market_Ahmedabad(Rajnagar sub yard),market_Ahmednagar,market_Ajmer(F&V),market_Ajnala,market_Akhnoor,market_Akluj,market_Alappuzha,market_Alwar,market_Alwar (F&V),market_Amarawati,market_Amrawati(Frui & Veg. Market),market_Amritsar(Amritsar Mewa Mandi),market_Anand,"market_Anand(Veg,Yard,Anand)",market_Anantapur,market_Anklav,market_Ankleshwar,market_Aralamoodu,market_Ariyalur Market,market_Aroor,market_Athirampuzha,market_Attabira,market_Azadpur,market_Babain,market_Bachau,market_Badwani,market_Baghapurana,market_Baikunthpur,market_Banur,market_Bapauli,market_Bariwala,market_Barshi,market_Barwala,market_Barwala(Hisar),market_Bassi Pathana,market_Batala,market_Bathinda,market_Berachha,market_Bethuadahari,market_Betnoti,market_Bhadaur,market_Bharuch,market_Bhesan,market_Bhikhiwind,market_Bhiwapur,market_Bhogpur,market_Bhopal(F&V),market_Bhuna,market_Bhuntar,market_Bidar,market_Bikaner (F&V),market_Bilaspur,market_Bilimora,market_Bohorihat,market_Bongiagaon,market_Borsad,market_Botad,market_Bowenpally,market_Ch. Dadri,market_Chail Chowk,market_Chamaraj Nagar,market_Chamba,market_Chandrapur(Ganjwad),market_Chandvad,market_Chanthroor,market_Chattrapati Sambhajinagar,market_Chengannur,market_Chhachrauli,market_Chhapiheda,market_Chhindwara,market_Chhindwara(F&V),market_Chintamani,market_Cuddapah,market_Dabwali,market_Dahod(Veg. Market),market_Deesa(Deesa Veg Yard),market_Dera Baba Nanak,market_Dhanaula,market_Dhanotu (Mandi),market_Dharamkot,market_Dharampur,market_Dharashiv,market_Dhari,market_Dhari(Chalala),market_Dholka,market_Dholka(Koth),market_Dholka(Market Yard Veg),market_Dinanagar,market_F.G.Churian,market_Faridkot,market_Fatehabad,market_Fazilka,market_Fazilka (Ladhuka),market_Firozepur City,market_Gadag,market_Gadhwah,market_Giddarbaha,market_Godabhaga,market_Godhra,market_Goraya,market_Goreswar,market_Gosala,market_Gowribidanoor,market_Guntakal,market_Gurdaspur,market_Haldwani,market_Hamirpur,market_Hamirpur(Nadaun),market_Harda,market_Harda(F&V),market_Harike,market_Harippad,market_Hassan,market_Hodal,market_Hoshiarpur(Sham Churasi),market_Hoskote,market_Howly,market_Hubli (Amaragol),market_Hyderabad (F&V),market_Indore(F&V),market_Islampur,market_Jagadhri,market_Jakhal,market_Jalaun,market_Jalgaon,market_Jalore,market_Jamkhed,market_Jammalamadugu,market_Jawali,market_Jaysingpur,market_Jeerapur,market_Jhajjar,market_Jhalod,market_Jora,market_Jowai,market_Junnar(Narayangaon),market_Jwalaji,market_Kalanaur,market_Kalmeshwar,market_Kalyan,market_Kamalapuram,market_Kamthi,market_Kangra,market_Kangra(Baijnath),market_Kangra(Jaisinghpur),market_Kangra(Jassour),market_Kangra(Nagrota Bagwan),market_Karad,market_Kathlal,market_Katni,market_Katni(F&V),market_Katpadi(Uzhavar Santhai),market_Kattakada,market_Keshod,market_Keshopur,market_Khairthal,market_Khamano,market_Khanpur,market_Khed,market_Khed(Chakan),market_Kinwat,market_Koilkunta,market_Kolhapur,market_Kollam,market_Koraput,market_Koraput(Semilguda),market_Kullu,market_Kullu(Chauri Bihal),market_Kullu(Patli Kuhal),market_Kumbhraj,market_Kundapura,market_Kunjpura,market_Kurali,market_Kurdwadi,market_Lalru,market_Lashkar,market_Lashkar(F&V),market_Laxmeshwar,market_Lehra Gaga,market_Ludhiana,market_Madhavapuram,market_Makhu,market_Malur,market_Manchar,market_Mandi(Mandi),market_Mandsaur,market_Mandya,market_Mangal Wedha,market_Mansa,market_Meham,market_Mehatpur,market_Mohindergarh,market_Morena,market_Morena(F&V),market_Muktsar,market_Mustafabad,market_Nadiad,market_Nadiyad(Chaklasi),market_Nadiyad(Piplag),market_Nagpur,market_Nagpur(Mahatma Phule Market),market_Nahan,market_Nakodar,market_Nalkehda,market_Naraingarh,market_Narnaund,market_Narwal Jammu (F&V),market_Nashik(Devlali),market_Nasik,market_Naushera Pannuan,market_Navapur,market_Nawan Shahar(MandiRaho),market_Nawan Shahar(Subzi Mandi),market_New Market Aizawl,market_Nissing,market_Nizamabad,market_P.O. Uparhali Guwahati,market_Pachaur,market_Padra,market_Palampur,market_Palayam,market_Palus,market_Pandharpur,market_Paonta Sahib,market_Parbhani,market_Parimpore,market_Patan,market_Pataudi,market_Pathankot,market_Patti,"market_Petlad(Veg Yard, Petlad)",market_Phillaur,market_Phillaur(Apra Mandi),market_Pothencode,market_Punalur,market_Pune,market_Pune(Khadiki),market_Pune(Pimpri),market_Quadian,market_Quilandy,market_Raghogarh,market_Rahata,market_Rahuri,market_Rajapalayam,market_Ramanujganj,market_Ramtek,market_Ratnagiri (Nachane),market_Rishikesh,market_Rohtak,market_Rudrapur,market_Sadasivpet,market_Sagar(F&V),market_Sahaspur,market_Sahnewal,market_Sakri,market_Samana,market_Sangola,market_Sangrur,market_Santoshgarh,market_Sarangpur,market_Satara,market_Shahdara,market_Shahkot,market_Shahzadpur,market_Shajapur,market_Shajapur(F&V),market_Shamgarh(F&V),market_Sheopurkalan,market_Shikohabad,market_Shimla and Kinnaur(Rampur),market_Shimoga,market_Shrirampur,market_Sindhanur,market_Sirhind,market_Sirmour(Bagthan),market_Sirmour(sarahan),market_Sitarganj,market_Sitmau,market_Solan,market_Solan(Nalagarh),market_Solapur,market_Sonepat,market_Sonepat(Kharkhoda),market_Sriganganagar (F&V),market_Susner,market_Suvasra,market_Syopurkalan(F&V),market_Taal,market_Tadipatri,market_Talala,market_Talalagir,market_Talwandi Bhai,market_Tanakpur,market_Tapa,market_Thandla,market_Thrippunithura,market_Tumkur,market_Udhampur,market_Udumalpet,market_Uklana,market_Una,market_Urvakonda,market_Vadgaonpeth,market_Vadhvan,market_Vadodara(Sayajipura),market_Vai,market_Warangal,market_kalanwali,market_vadakarapathy,variety_I Sort,variety_Local,"variety_Mota, Small",variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
