month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,state_Chattisgarh,state_Gujarat,state_Karnataka,state_Madhya Pradesh,state_Maharashtra,state_Odisha,state_Pondicherry,state_Punjab,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,market_Abu Road,market_Achalpur,market_Achampet,market_Achampet(Amrabad),market_Adoni,market_Ahmednagar,market_Ahmedpur,market_Ajaygarh,market_Akhadabalapur,market_Akluj,market_Alur,market_Amangal,market_Ambad (Vadigodri),market_Ambejaogai,market_Amirgadh,market_Amod,market_Amreli,market_Anajngaon,market_Anand,market_Anjar,market_Anthiyur,market_Anupgarh,market_Arasikere,market_Ariyalur Market,market_Armoor,market_Atmakur,market_Ausa,market_Babra,market_Bachau,market_Badami,market_Badepalli,market_Badwani,market_Bagepalli,market_Bagru,market_Balotra,market_Barshi,market_Basmat,market_Bayad,market_Bayad(Demai),market_Bayad(Sadamba),market_Becharaji,market_Bhabhar,market_Bhagat Ki Kothi,market_Bhagat Kii Phalodi,market_Bhandara,market_Bhavnagar,market_Bhawanipatna,market_Bhesan,market_Bhiloda,market_Bhilwara,market_Bhinmal,market_Bhokar,market_Bhokardan(Pimpalgaon Renu),market_Bhongir,market_Bhuj,market_Bijapur,market_Bikaner (Grain),market_Bilara,market_Bobbili,market_Bodeliu,market_Borsad,market_Botad,market_Brahmpuri,market_Buldhana(Dhad),market_Chalisgaon,market_Chandrapur,market_Chandur,market_Chandur(Mungodu),market_Channarayapatna,market_Chattrapati Sambhajinagar,market_Cherial,market_Chityal,market_Choppadandi,market_Chotila,market_Choutuppal,market_Cuddapah,market_Dahod,market_Dasada Patadi,market_Deesa,market_Deesa(Bhildi),market_Dehgam,market_Dehgam(Rekhiyal),market_Deoli,market_Deoulgaon Raja,market_Devarakadra,market_Devarakonda,market_Dewas,market_Dhamnod,market_Dhanera,market_Dhansura,market_Dharashiv,market_Dholka,market_Dholka(Koth),market_Dhone,market_Dhoraji,market_Dhrol,market_Dhule,market_Diyodar,market_Doddaballa Pur,market_Fatehpur Sikri,market_Gadag,market_Gadwal,market_Gadwal(Lezza),market_Gangavalli,market_Gevrai,market_Gharsana,market_Ghatanji,market_Godhra,market_Gogamba,market_Goluwala,market_Gondal,market_Gowribidanoor,market_Gubbi,market_Gulabpura,market_Gundlupet,market_Gunpur,market_Guntakal,market_H.B. Halli,market_Halvad,market_Hanumangarh,market_Hanumangarh Town,market_Harij,market_Himatnagar,market_Himatnagar(Gambhoi),market_Huliyar,market_Hunsur,market_Ibrahimputnam,market_Ichhawar,market_Idar,market_Idar(Jadar),market_Jagtial,market_Jaipur (Grain),market_Jaipur(Grain)(Chandpole),market_Jaitaran,market_Jajpur,market_Jalana,market_Jam Jodhpur,market_Jam Khambalia,market_Jambusar,market_Jammikunta,market_Jamnagar,market_Jangaon,market_Jasdan,market_Jetpur(Dist.Rajkot),market_Jhagadiya,market_Jhansi,market_Jodhpur (Grain),market_Junagadh,market_K.Mandvi,market_Kadi,market_Kadur,market_Kaij,market_Kalamb (Dharashiv),market_Kalamnuri,market_Kalawad,market_Kalol,market_Kalwakurthy,market_Kanakapura,market_Kandhar,market_Kapadanj(Moti Jaher),market_Kapadvanj,market_Karad,market_Karimnagar,market_Kasrawad,market_Katol,market_Kesamudram,market_Khajuwala,market_Khedbrahma,market_Kille Dharur,market_Kodinar,market_Koilkunta,market_Kollapur,market_Koppal,market_Kosamba,market_Kottur,market_Kurdwadi,market_Kurnool,market_Lakhani,market_Lalgarh Jatan,market_Lashkar,market_Lasur Station,market_Latur,market_Laxmeshwar,market_Loha,market_Mahbubnagar,market_Mahbubnagar(Nawabpet),market_Mahuva,market_Mahuva(Station Road),market_Majalgaon,market_Makthal,market_Malegaon,market_Manawar,market_Mandal,market_Mansa,market_Mansa(Manas Veg Yard),market_Matar,market_Medak,market_Meghraj,market_Mehsana,market_Mehsana(Jornang),market_Modasa,market_Modasa(Tintoi),market_Morbi,market_Morva Hafad,market_Munguli,market_Mysore (Bandipalya),market_Nagamangala,market_Nagarkurnool,market_Nagarkurnool(Talkapalli),market_Nagpur,market_Nakrekal,market_Nalgonda,market_Namakkal,market_Nandgaon,market_Nandurbar,market_Nanjangud,market_Narayanpet,market_Narsapur,market_Narsinghgarh,market_Nasvadi,market_Neemuch,market_Nizamabad,market_Nohar,market_Ositan Mathania,market_Padampur,market_Palanpur,market_Palitana,market_Panthawada,market_Patan,market_Pattikonda,market_Pavagada,market_Pilibanga,market_Pipar City,market_Porbandar,market_Prantij,market_Prantij(Salala),market_Raichur,market_Raikot,market_Raisingh Nagar,market_Rajkot,market_Rajula,market_Ramanagara,market_Rampura,market_Ranebennur,market_Rani,market_Raniwara,market_Rapar,market_Rasipuram,market_Rawatsar,market_Rayagada,market_Rayagada(Muniguda),market_Rehati,market_S.Mandvi,market_Sadulshahar,market_Sami,market_Sanad,market_Sanchore,market_Sangli,market_Sangriya,market_Satana,market_Savarkundla,market_Savli,market_Savli(Desar),market_Savli(Samlaya),market_Sayala,market_Segaon,market_Shadnagar,market_Shegaon,market_Shirur,market_Shrigonda,market_Shrirampur,market_Siddapur,market_Siddhpur,market_Siddipet,market_Sillod,market_Sinner,market_Sira,market_Sojat Road,market_Solapur,market_Sriganganagar (Grain),market_Sumerpur,market_Suratgarh,market_Suryapeta,market_Susner,market_Taleja,market_Talod,market_Taloda,market_Tarapur,market_Thara,market_Tharad,market_Thattanchavady,market_Thiryagadurgam,market_Timarni,market_Tirumalagiri,market_Tittakudi,market_Tumsar,market_Ulundurpettai,market_Umared,market_Umarga,market_Umreth,market_Una,market_Unava,market_Upleta,market_Vadali,market_Vadgam,market_Vadhvan,market_Vadnagar,market_Vadodara,market_Vadvani,market_Vagodiya,market_Vaijpur,market_Valod(Buhari),market_Vankaner,market_Varud(Rajura Bazar),market_Vav,market_Vellore,market_Vijapur,market_Vijapur(Gojjariya),market_Vijapur(Kukarvada),market_Vijaynagar,market_Viramgam,market_Virudhachalam,market_Visavadar,market_Visnagar,market_Warangal,market_Yemmiganur,variety_Castor seed,variety_Other,year
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2020
